================== DRONE: Saint-Léonard ================

0 :  [8, 174]
1 :  [174, 124]
2 :  [124, 124]
3 :  [124, 124]
4 :  [124, 175]
5 :  [175, 124]
6 :  [124, 175]
7 :  [175, 124]
8 :  [124, 205]
9 :  [205, 157]
10 :  [157, 205]
11 :  [205, 10]
12 :  [10, 10]
13 :  [10, 346]
14 :  [346, 8]
15 :  [8, 175]
16 :  [175, 175]
17 :  [175, 8]
18 :  [8, 175]
19 :  [175, 8]
20 :  [8, 124]
21 :  [124, 8]
22 :  [8, 68]
23 :  [68, 10]
24 :  [10, 68]
25 :  [68, 175]
26 :  [175, 124]
27 :  [124, 124]
28 :  [124, 12]
29 :  [12, 174]
30 :  [174, 12]
31 :  [12, 17]
32 :  [17, 8]
33 :  [8, 17]
34 :  [17, 124]
35 :  [124, 8]
36 :  [8, 68]
37 :  [68, 8]
38 :  [8, 8]
39 :  [8, 346]
40 :  [346, 8]
41 :  [8, 124]
42 :  [124, 124]
43 :  [124, 346]
44 :  [346, 329]
45 :  [329, 346]
46 :  [346, 10]
47 :  [10, 177]
48 :  [177, 10]
49 :  [10, 384]
50 :  [384, 10]
51 :  [10, 384]
52 :  [384, 10]
53 :  [10, 346]
54 :  [346, 10]
55 :  [10, 346]
56 :  [346, 8]
57 :  [8, 10]
58 :  [10, 10]
59 :  [10, 10]
60 :  [10, 10]
61 :  [10, 10]
62 :  [10, 10]
63 :  [10, 10]
64 :  [10, 10]
65 :  [10, 10]
66 :  [10, 10]
67 :  [10, 10]
68 :  [10, 10]
69 :  [10, 10]
70 :  [10, 10]
71 :  [10, 10]
72 :  [10, 10]
73 :  [10, 10]
74 :  [10, 10]
75 :  [10, 10]
76 :  [10, 10]
77 :  [10, 384]
78 :  [384, 68]
79 :  [68, 384]
80 :  [384, 68]
81 :  [68, 157]
82 :  [157, 68]
83 :  [68, 384]
84 :  [384, 68]
85 :  [68, 68]
86 :  [68, 157]
87 :  [157, 384]
88 :  [384, 157]
89 :  [157, 346]
90 :  [346, 346]
91 :  [346, 346]
92 :  [346, 384]
93 :  [384, 384]
94 :  [384, 384]
95 :  [384, 10]
96 :  [10, 384]
97 :  [384, 10]
98 :  [10, 10]
99 :  [10, 10]
100 :  [10, 10]
101 :  [10, 10]
102 :  [10, 346]
103 :  [346, 346]
104 :  [346, 10]
105 :  [10, 346]
106 :  [346, 10]
107 :  [10, 10]
108 :  [10, 10]
109 :  [10, 10]
110 :  [10, 10]
111 :  [10, 10]
112 :  [10, 10]
113 :  [10, 10]
114 :  [10, 10]
115 :  [10, 10]
116 :  [10, 10]
117 :  [10, 10]
118 :  [10, 10]
119 :  [10, 10]
120 :  [10, 10]
121 :  [10, 10]
122 :  [10, 10]
123 :  [10, 10]
124 :  [10, 176]
125 :  [176, 10]
126 :  [10, 176]
127 :  [176, 176]
128 :  [176, 176]
129 :  [176, 10]
130 :  [10, 176]
131 :  [176, 56]
132 :  [56, 176]
133 :  [176, 180]
134 :  [180, 180]
135 :  [180, 180]
136 :  [180, 180]
137 :  [180, 180]
138 :  [180, 180]
139 :  [180, 180]
140 :  [180, 180]
141 :  [180, 176]
142 :  [176, 176]
143 :  [176, 176]
144 :  [176, 56]
145 :  [56, 176]
146 :  [176, 56]
147 :  [56, 176]
148 :  [176, 180]
149 :  [180, 180]
150 :  [180, 176]
151 :  [176, 10]
152 :  [10, 56]
153 :  [56, 10]
154 :  [10, 10]
155 :  [10, 10]
156 :  [10, 10]
157 :  [10, 56]
158 :  [56, 176]
159 :  [176, 10]
160 :  [10, 175]
161 :  [175, 175]
162 :  [175, 10]
163 :  [10, 175]
164 :  [175, 10]
165 :  [10, 49]
166 :  [49, 10]
167 :  [10, 49]
168 :  [49, 10]
169 :  [10, 10]
170 :  [10, 10]
171 :  [10, 10]
172 :  [10, 10]
173 :  [10, 49]
174 :  [49, 10]
175 :  [10, 205]
176 :  [205, 10]
177 :  [10, 205]
178 :  [205, 56]
179 :  [56, 10]
180 :  [10, 56]
181 :  [56, 56]
182 :  [56, 56]
183 :  [56, 56]
184 :  [56, 10]
185 :  [10, 49]
