================== DRONE: Verdun ================

0 :  [1, 149]
1 :  [149, 41]
2 :  [41, 149]
3 :  [149, 1]
4 :  [1, 149]
5 :  [149, 41]
6 :  [41, 1]
7 :  [1, 56]
8 :  [56, 56]
9 :  [56, 56]
10 :  [56, 187]
11 :  [187, 56]
12 :  [56, 56]
13 :  [56, 56]
14 :  [56, 47]
15 :  [47, 26]
16 :  [26, 337]
17 :  [337, 337]
18 :  [337, 20]
19 :  [20, 337]
20 :  [337, 7]
21 :  [7, 7]
22 :  [7, 7]
23 :  [7, 20]
24 :  [20, 9]
25 :  [9, 20]
26 :  [20, 8]
27 :  [8, 1]
28 :  [1, 20]
29 :  [20, 337]
30 :  [337, 1]
31 :  [1, 1]
32 :  [1, 1]
33 :  [1, 1]
34 :  [1, 1]
35 :  [1, 187]
36 :  [187, 1]
37 :  [1, 56]
38 :  [56, 56]
39 :  [56, 56]
40 :  [56, 56]
41 :  [56, 56]
42 :  [56, 1]
43 :  [1, 56]
44 :  [56, 1]
45 :  [1, 1]
46 :  [1, 1]
47 :  [1, 56]
48 :  [56, 33]
49 :  [33, 56]
50 :  [56, 56]
51 :  [56, 1]
52 :  [1, 33]
53 :  [33, 58]
54 :  [58, 56]
55 :  [56, 56]
56 :  [56, 56]
57 :  [56, 56]
58 :  [56, 1]
59 :  [1, 172]
60 :  [172, 143]
61 :  [143, 8]
62 :  [8, 143]
63 :  [143, 143]
64 :  [143, 7]
65 :  [7, 143]
66 :  [143, 172]
67 :  [172, 20]
68 :  [20, 1]
69 :  [1, 1]
70 :  [1, 56]
71 :  [56, 56]
72 :  [56, 56]
73 :  [56, 56]
74 :  [56, 56]
75 :  [56, 1]
76 :  [1, 282]
77 :  [282, 20]
78 :  [20, 35]
79 :  [35, 35]
80 :  [35, 20]
81 :  [20, 282]
82 :  [282, 282]
83 :  [282, 20]
84 :  [20, 282]
85 :  [282, 1]
86 :  [1, 56]
87 :  [56, 56]
88 :  [56, 56]
89 :  [56, 56]
90 :  [56, 56]
91 :  [56, 56]
92 :  [56, 56]
93 :  [56, 56]
94 :  [56, 56]
95 :  [56, 1]
96 :  [1, 1]
97 :  [1, 56]
98 :  [56, 56]
99 :  [56, 56]
100 :  [56, 56]
101 :  [56, 56]
102 :  [56, 56]
103 :  [56, 56]
104 :  [56, 56]
105 :  [56, 56]
106 :  [56, 56]
107 :  [56, 1]
108 :  [1, 1]
109 :  [1, 56]
110 :  [56, 56]
111 :  [56, 1]
112 :  [1, 56]
113 :  [56, 56]
114 :  [56, 56]
115 :  [56, 1]
116 :  [1, 1]
117 :  [1, 20]
118 :  [20, 1]
119 :  [1, 1]
120 :  [1, 1]
121 :  [1, 1]
122 :  [1, 1]
123 :  [1, 56]
124 :  [56, 56]
125 :  [56, 56]
126 :  [56, 56]
127 :  [56, 56]
128 :  [56, 56]
129 :  [56, 56]
130 :  [56, 56]
131 :  [56, 56]
132 :  [56, 56]
133 :  [56, 56]
134 :  [56, 56]
135 :  [56, 358]
136 :  [358, 1]
137 :  [1, 358]
138 :  [358, 56]
139 :  [56, 358]
140 :  [358, 46]
141 :  [46, 358]
142 :  [358, 56]
143 :  [56, 358]
144 :  [358, 1]
145 :  [1, 358]
146 :  [358, 58]
147 :  [58, 1]
148 :  [1, 358]
149 :  [358, 1]
150 :  [1, 1]
151 :  [1, 58]
152 :  [58, 1]
153 :  [1, 56]
154 :  [56, 1]
155 :  [1, 358]
156 :  [358, 1]
157 :  [1, 1]
158 :  [1, 56]
159 :  [56, 1]
160 :  [1, 56]
161 :  [56, 1]
162 :  [1, 56]
163 :  [56, 1]
164 :  [1, 1]
165 :  [1, 56]
166 :  [56, 56]
167 :  [56, 1]
168 :  [1, 56]
169 :  [56, 1]
170 :  [1, 1]
171 :  [1, 56]
172 :  [56, 56]
173 :  [56, 1]
174 :  [1, 1]
175 :  [1, 1]
176 :  [1, 1]
177 :  [1, 1]
178 :  [1, 1]
179 :  [1, 1]
180 :  [1, 56]
181 :  [56, 1]
182 :  [1, 56]
183 :  [56, 7]
184 :  [7, 9]
185 :  [9, 56]
186 :  [56, 1]
187 :  [1, 1]
188 :  [1, 9]
189 :  [9, 9]
190 :  [9, 1]
191 :  [1, 1]
192 :  [1, 1]
193 :  [1, 1]
194 :  [1, 1]
195 :  [1, 1]
196 :  [1, 1]
197 :  [1, 1]
198 :  [1, 1]
199 :  [1, 1]
200 :  [1, 1]
201 :  [1, 1]
202 :  [1, 1]
203 :  [1, 1]
204 :  [1, 1]
205 :  [1, 56]
206 :  [56, 56]
207 :  [56, 56]
208 :  [56, 56]
209 :  [56, 1]
210 :  [1, 1]
211 :  [1, 1]
212 :  [1, 1]
213 :  [1, 1]
214 :  [1, 143]
215 :  [143, 143]
216 :  [143, 143]
217 :  [143, 56]
218 :  [56, 56]
219 :  [56, 56]
220 :  [56, 56]
221 :  [56, 56]
222 :  [56, 56]
223 :  [56, 56]
224 :  [56, 56]
225 :  [56, 56]
226 :  [56, 56]
227 :  [56, 56]
228 :  [56, 56]
229 :  [56, 1]
230 :  [1, 56]
231 :  [56, 56]
232 :  [56, 56]
233 :  [56, 145]
234 :  [145, 20]
235 :  [20, 149]
236 :  [149, 149]
237 :  [149, 149]
238 :  [149, 56]
239 :  [56, 58]
240 :  [58, 186]
241 :  [186, 58]
242 :  [58, 58]
243 :  [58, 58]
244 :  [58, 58]
245 :  [58, 58]
246 :  [58, 56]
247 :  [56, 58]
248 :  [58, 56]
249 :  [56, 1]
250 :  [1, 56]
251 :  [56, 56]
252 :  [56, 58]
253 :  [58, 56]
254 :  [56, 56]
255 :  [56, 56]
256 :  [56, 58]
257 :  [58, 58]
258 :  [58, 58]
259 :  [58, 58]
260 :  [58, 58]
261 :  [58, 58]
262 :  [58, 58]
263 :  [58, 58]
264 :  [58, 58]
265 :  [58, 56]
266 :  [56, 58]
267 :  [58, 58]
268 :  [58, 56]
269 :  [56, 58]
270 :  [58, 56]
271 :  [56, 56]
272 :  [56, 186]
273 :  [186, 56]
274 :  [56, 56]
275 :  [56, 56]
276 :  [56, 56]
277 :  [56, 58]
278 :  [58, 58]
279 :  [58, 58]
280 :  [58, 58]
281 :  [58, 166]
282 :  [166, 58]
283 :  [58, 58]
284 :  [58, 58]
285 :  [58, 56]
286 :  [56, 56]
287 :  [56, 58]
288 :  [58, 56]
289 :  [56, 56]
290 :  [56, 56]
291 :  [56, 58]
292 :  [58, 58]
293 :  [58, 1]
294 :  [1, 56]
